4
6.13	2.91	4.61	1.65
5.77	3.14	4.99	2.11
5.07	3.89	1.73	0.24
4.25	3.06	1.56	0.31
6.62	2.74	5.22	1.74
5.8	2.41	4.12	1.43
5.32	3.46	1.66	0.23
5.11	3.11	1.4	0.45
5.9	2.47	4.1	1.06
4.6	2.88	1.25	0.09
5.11	3.87	1.65	0.34
4.88	3.21	1.64	0.26
7.31	3.14	6.08	1.96
6.01	2.77	4.34	1.76
7.87	3.05	6.68	3.04
5.84	2.65	4.11	1.34
6.51	2.79	5.77	2.19
6.51	3.25	4.94	1.71
4.98	3.35	1.29	0.13
7.41	3.49	6.49	2.65
6.32	2.76	5.83	2.2
5.2	3.81	1.22	0.34
7.04	3.32	5.05	1.56
4.71	3.12	1.72	0.04
5.29	3.66	1.7	0.41
6.38	2.62	4.79	1.5
4.82	2.95	1.65	0.06
6.87	2.95	5.29	2.1
7.1	2.93	6.2	2.34
5.77	2.76	4.13	1.61
5.55	4.11	1.38	0.41
4.81	3.42	1.41	0.05
4.17	2.42	1.36	0.19
4.84	3.3	1.53	0.23
5.82	2.87	4.63	1.54
5.53	2.92	4.77	1.75
5.51	2.11	4.79	1.69
6.21	2.91	4.86	1.55
5.84	4.46	1.6	0.53
6.42	2.97	4.77	1.62
6.24	3.03	5.44	1.93
4.93	3.44	1.47	0.3
5.68	4.13	1.72	0.42
5.23	3.31	1.25	0.41
6.75	2.78	5.22	1.38
6.27	2.04	4.7	1.36
4.95	3.55	1.76	0.21
4.99	2.39	3.2	0.74
4.86	3.37	1.28	0.32
6.67	3.09	5.34	2.13
5.6	2.37	4.13	1.35
4.64	3.28	1.39	0.11
5.58	3.65	1.65	0.36
4.49	2.92	1.55	0.27
6	2.63	4.53	1.59
4.77	3.3	1.48	0.12
5.11	3.1	1.51	0.28
6.08	2.36	4.06	1.18
4.86	3.57	1.25	0.18
8.21	3.66	5.9	2.21
6.64	3.14	5.26	1.64
6.93	3.25	4.93	1.82
6.05	3.11	4.87	1.92
4.6	3.05	1.41	0.17
4.86	3.57	1.45	0.35
5.17	3.74	1.57	0.42
6.02	3	5.05	1.63
7.15	3.1	6.45	2.31
4.42	2.82	1.02	0.09
5.21	3.68	1.42	0.23
6.91	3.1	5.55	1.7
5.26	3.85	1.41	0.32
5.71	3.99	1.57	0.29
4.53	2.98	1.59	0.17
7.03	3.3	5.76	1.66
5.41	2.48	3.32	0.93
6.36	2.91	5.37	1.87
5.01	3.71	1.38	0.37
6.1	2.49	4.65	1.33
6.94	3	4.87	1.62
5.95	2.86	4.54	1.12
6.31	2.93	4.81	1.78
5.64	2.33	3.76	1.33
6.57	3.13	5.06	1.83
4.88	2.6	3.33	0.4
5.4	2.9	4.3	1.74
5.2	3.15	1.57	0.32
8.31	3.13	7.19	2.39
4.52	3.12	1.03	0.26
7.73	2.89	6.86	2.49
4.88	3.2	1.75	0.33
7.22	3.18	5.32	1.79
6.25	4.27	1.58	0.21
4.96	1.94	3.91	1.02
5.23	2.76	4.41	1.22
4.67	2.59	2.51	0.9
5.81	2.64	4.08	1.48
5.19	3.68	1.45	0.46
6.58	3.12	5.78	2.05
7.14	3.52	6.24	2.21
5.16	3.72	1.64	0.18
5.73	2.77	5.01	1.54
5.76	3.16	4.46	1.79
6.31	2.41	5.23	1.36
5.75	2.78	4.4	1.55
5.76	2.54	4.62	1.46
7.14	3.31	5.57	1.91
4.47	3.12	1.25	0.21
5	3.55	1.68	0.19
4.73	3.35	1.51	0.34
7.52	3.12	5.88	1.9
5.81	3.07	4.68	1.59
4.51	3.31	1.51	0.19
6.53	2.65	5.46	2.2
4.99	2.97	1.6	0.37
5.34	3.47	1.42	0.28
5.19	3.36	1.77	0.26
5.95	2.98	4.1	1.59
5.36	3.68	1.71	0.38
6.02	2.59	4.69	1.73
5.24	3.64	1.47	0.28
6.68	3.05	5.28	1.64
5.3	3.94	1.59	0.26
6.61	2.85	4.82	1.68
5.34	2.81	3.43	1.43
5.18	3.57	1.75	0.19
4.84	3.67	1.45	0.27
7.16	3	5.73	2.02
5.34	3.71	1.42	0.24
5.27	3.68	1.64	0.24
4.91	3.7	1.47	0.2
6.81	2.94	5.94	1.76
7.32	2.67	5.63	2.01
6.58	3.11	5.39	1.88
