9
3.51	1.08	0.15	1.29	1.78	0.78	1.22	0.11	0.92
4.7	6.52	6.38	6.7	1.61	5.67	5.34	7.25	4.55
3.91	1.02	1.17	1.97	2.32	2.06	1.83	0.43	1.22
3.17	2.27	1.94	1.7	2.55	0.43	4.09	1.27	0.5
5.34	0.8	0.68	1.78	1.25	0.86	1.08	0.66	0.79
5.29	1.15	1.03	2.47	2.37	3.86	0.84	0.54	0.95
6.34	1.49	1.41	0.73	3.54	2.64	3.22	3.17	0.83
2.07	0.24	1.32	0.86	1.44	1.29	0.6	0.79	0.54
0.84	0.76	0.93	1.81	2.01	1.51	0.48	1.55	0.49
6.34	1.39	1.41	2.41	2.69	2.39	0.27	0.42	1.5
6.82	6.77	8.57	7.31	4.65	6.38	4.4	8.83	0.59
7.67	6.7	10.75	1.8	3.55	8.33	7.22	9.37	1.71
5.41	6.5	10.39	4.89	5.65	6.55	1.63	9.73	4.13
8.95	8.63	8.37	6.89	4.72	4.94	3.25	9.83	4.76
7.52	10.27	9.63	4.94	9.43	7.16	4.16	2.34	4.64
1.4	0.74	0.57	0.09	2.6	0.05	1.29	0.48	0.66
3.78	1.55	1.36	1.45	1.95	0.66	1.83	1.79	0.16
5.97	8.86	8.23	5.53	6.48	7.31	5.7	6.42	2.64
3	0.34	1.7	1.34	1.28	1.97	0.05	1.02	2.33
0.98	1.1	2.17	2.3	2.58	2.02	0.85	1.56	2.25
2.78	1.15	2.19	0.96	0.42	2.23	3	1.27	0.76
6.68	8.03	8.65	6.22	3.53	10.83	8.2	12.81	2.18
3.63	0.8	0.21	1.64	1.58	1.12	0.61	0.66	1.76
5.23	6.43	4.44	4.21	4.07	9.41	7.07	1.69	1.63
7.73	10.06	8.78	1.32	9.11	7.74	3.37	8.21	1.69
0.98	0.78	2.68	0.47	1.12	0.67	1.83	2.35	1.74
8.27	8.56	10.78	5.82	8.5	4.51	5.3	7.82	3.48
2.28	0.45	1.62	1.15	1.41	2	2.29	0.77	0.1
6.32	8.9	6.24	5.02	9.11	9.32	4.16	6.68	3.65
4.23	5.81	6.78	4.9	4.54	8.48	5.18	4.81	3.94
4.48	5.26	6.96	10.17	4.91	11.12	6.1	2.99	2.9
